Gene,MutSig(Q-value),# Mut,# Profiled Samples,Freq,Is Cancer Gene (source: OncoKB)
AHSG,6,6,1013,0.6%,No
TPBG,3,3,1013,0.3%,No
PRSS12,4,4,1013,0.4%,No
CEACAM18,1,1,1013,<0.1%,No
OR5V1,3,3,1013,0.3%,No
SYPL2,3,3,1013,0.3%,No
OR2B2,1,1,1013,<0.1%,No
EEIG2,3,2,1013,0.2%,No
TPR,13,13,1013,1.3%,Yes
CADPS2,5,5,1013,0.5%,No
TPT1,1,1,1013,<0.1%,No
ARHGAP18,6,6,1013,0.6%,No
TPSAB1,1,1,1013,<0.1%,No
TPTE,12,9,1013,0.9%,No
STRADA,2,2,1013,0.2%,No
BARHL2,3,3,1013,0.3%,No
REEP3,1,1,1013,<0.1%,No
JMJD1C,12,12,1013,1.2%,No
TCAF2,1,1,1013,<0.1%,No
SKIC8,2,2,1013,0.2%,No
CAPZA3,4,4,1013,0.4%,No
TPM4,2,2,1013,0.2%,Yes
TPP2,3,3,1013,0.3%,No
ZXDC,4,4,1013,0.4%,No
TPO,10,10,1013,1.0%,No
HMGN5,1,1,1013,<0.1%,No
C6ORF62,3,3,1013,0.3%,No
FCRL2,7,7,1013,0.7%,No
RNF39,2,2,1013,0.2%,No
B3GNT4,4,4,1013,0.4%,No
UCMA,3,3,1013,0.3%,No
TNKS2,3,3,1013,0.3%,No
TRAF2,4,4,1013,0.4%,Yes
TRAF6,2,1,1013,<0.1%,No
TRAF5,6,6,1013,0.6%,Yes
DPP9,1,1,1013,<0.1%,No
ZNF775,9,7,1013,0.7%,No
ZNF774,3,3,1013,0.3%,No
ATG9B,1,1,1013,<0.1%,No
SPSB4,2,2,1013,0.2%,No
SETD4,4,4,1013,0.4%,Yes
NR2C1,2,2,1013,0.2%,No
NR2C2,5,5,1013,0.5%,No
TRAF1,2,2,1013,0.2%,No
STAC3,3,3,1013,0.3%,No
HSP90B1,5,4,1013,0.4%,No
OPN1MW2,1,1,1013,<0.1%,No
SLC39A12,2,2,1013,0.2%,No
PDCD1LG2,1,1,1013,<0.1%,Yes
TMC3,2,2,1013,0.2%,No
CD276,2,2,1013,0.2%,Yes
KCNT2,14,13,1013,1.3%,No
BEND7,1,1,1013,<0.1%,No
ZNF789,4,3,1013,0.3%,No
RPP38-DT,1,1,1013,<0.1%,No
FAM171A1,6,6,1013,0.6%,No
CCDC34,3,3,1013,0.3%,No
CATSPERE,5,5,1013,0.5%,No
HNRNPUL2,3,3,1013,0.3%,No
EPHA10,12,11,1013,1.1%,No
RSPO1,3,3,1013,0.3%,No
CTHRC1,1,1,1013,<0.1%,No
PXYLP1,5,5,1013,0.5%,No
NSUN6,4,4,1013,0.4%,No
CD163L1,4,4,1013,0.4%,No
GPR149,7,7,1013,0.7%,No
ZNF878,4,4,1013,0.4%,No
ANKRD30A,13,13,1013,1.3%,No
FRMD3,5,4,1013,0.4%,No
FCRL6,3,3,1013,0.3%,No
OR10R2,7,6,1013,0.6%,No
MYL12B,1,1,1013,<0.1%,No
OCLN,1,1,1013,<0.1%,No
ST6GALNAC5,1,1,1013,<0.1%,No
MDM1,5,5,1013,0.5%,No
LGALS14,5,4,1013,0.4%,No
SBF2,9,9,1013,0.9%,No
RNF146,4,4,1013,0.4%,No
SPRY4,4,4,1013,0.4%,No
DPYSL5,3,3,1013,0.3%,No
WRNIP1,4,4,1013,0.4%,No
CDC42BPG,9,8,1013,0.8%,No
ANKS1B,11,10,1013,1.0%,No
GALNT10,6,5,1013,0.5%,No
DNAH3,38,36,1013,3.6%,No
UBQLN4,5,5,1013,0.5%,No
OR10AD1,1,1,1013,<0.1%,No
AGPAT3,3,3,1013,0.3%,No
KRTAP1-3,1,1,1013,<0.1%,No
TPH2,6,6,1013,0.6%,No
AGPAT4,5,5,1013,0.5%,No
KRTAP1-1,1,1,1013,<0.1%,No
VANGL1,2,2,1013,0.2%,No
ZNF641,2,2,1013,0.2%,No
SERPINA12,4,4,1013,0.4%,No
GSC,1,1,1013,<0.1%,No
FOXRED1,1,1,1013,<0.1%,No
TRIM56,2,2,1013,0.2%,No
NAGK,1,1,1013,<0.1%,No
STAB2,23,22,1013,2.2%,No
FBXW10B,5,5,1013,0.5%,No
SLC15A4,4,4,1013,0.4%,No
KIF27,6,5,1013,0.5%,No
ISG20L2,5,4,1013,0.4%,No
CHRNA9,4,4,1013,0.4%,No
KRTAP9-9,1,1,1013,<0.1%,No
BMP2K,5,5,1013,0.5%,No
MED29,2,2,1013,0.2%,No
TMEM132D,11,11,1013,1.1%,No
PTCRA,1,1,1013,<0.1%,No
ARPC5L,2,2,1013,0.2%,No
ILDR2,2,2,1013,0.2%,No
NDUFS7,1,1,1013,<0.1%,No
GPR180,1,1,1013,<0.1%,No
MIPOL1,4,4,1013,0.4%,No
OTUD5,1,1,1013,<0.1%,No
ZNF611,13,9,1013,0.9%,No
DIPK2A,1,1,1013,<0.1%,No
MED25,4,4,1013,0.4%,No
SHARPIN,1,1,1013,<0.1%,No
ZCCHC8,1,1,1013,<0.1%,No
OR2A4,1,1,1013,<0.1%,No
OR4K1,2,2,1013,0.2%,No
RNPC3,1,1,1013,<0.1%,No
ZXDB,4,4,1013,0.4%,No
FAAH2,2,2,1013,0.2%,No
TMEM270,2,2,1013,0.2%,No
KASH5,2,2,1013,0.2%,No
GCC1,7,7,1013,0.7%,No
ZNF785,2,2,1013,0.2%,No
TTC13,7,7,1013,0.7%,No
ATP13A3,9,8,1013,0.8%,No
ABHD8,4,4,1013,0.4%,No
EPS8L3,4,4,1013,0.4%,No
CDC73,3,3,1013,0.3%,Yes
NKAP,1,1,1013,<0.1%,No
SLC25A28,3,3,1013,0.3%,No
QTRT1,7,7,1013,0.7%,No
TRIM50,2,2,1013,0.2%,No
CSAG1,2,2,1013,0.2%,No
LAS1L,4,4,1013,0.4%,No
ZNF688,3,3,1013,0.3%,No
MAIP1,2,2,1013,0.2%,No
RIPOR1,5,3,1013,0.3%,No
PRSS36,4,4,1013,0.4%,No
FANK1,3,3,1013,0.3%,No
ARMH3,3,3,1013,0.3%,No
ST8SIA6,5,5,1013,0.5%,No
MRPL24,2,2,1013,0.2%,No
DNAAF8,2,2,1013,0.2%,No
SAP130,4,4,1013,0.4%,No
MUL1,1,1,1013,<0.1%,No
TMEM64,1,1,1013,<0.1%,No
C16ORF89,4,4,1013,0.4%,No
OBI1,1,1,1013,<0.1%,No
CEP97,4,4,1013,0.4%,No
RDH12,2,2,1013,0.2%,No
CCDC122,2,2,1013,0.2%,No
ATXN3L,1,1,1013,<0.1%,No
DGKH,6,6,1013,0.6%,No
SPAG16,6,6,1013,0.6%,No
CHPF,6,6,1013,0.6%,No
CORO7,7,6,1013,0.6%,No
CARS2,5,5,1013,0.5%,No
PCSK9,2,2,1013,0.2%,No
GADL1,7,7,1013,0.7%,No
KCNK18,3,3,1013,0.3%,No
NPNT,3,2,1013,0.2%,No
ZC3HAV1,12,12,1013,1.2%,No
APRG1,1,1,1013,<0.1%,No
SLAMF8,3,3,1013,0.3%,No
HES6,2,2,1013,0.2%,No
CHST12,5,4,1013,0.4%,No
ETNK1,1,1,1013,<0.1%,Yes
MACROH2A2,1,1,1013,<0.1%,No
TNFRSF19,3,3,1013,0.3%,No
TRPV6,4,4,1013,0.4%,No
GPR137,2,2,1013,0.2%,No
BATF3,1,1,1013,<0.1%,No
RNF40,7,7,1013,0.7%,No
ASPDH,3,3,1013,0.3%,No
SMPD3,3,3,1013,0.3%,No
SAGE1,6,6,1013,0.6%,No
DDX43,7,7,1013,0.7%,No
MRPL19,3,3,1013,0.3%,No
IP6K1,1,1,1013,<0.1%,No
SCRN1,2,2,1013,0.2%,No
OR52B2,3,3,1013,0.3%,No
SPOCK2,1,1,1013,<0.1%,No
SPHK2,7,7,1013,0.7%,No
RB1CC1,7,7,1013,0.7%,No
CUL7,9,7,1013,0.7%,No
ELAC1,2,2,1013,0.2%,No
RAD18,4,4,1013,0.4%,No
CELF4,4,4,1013,0.4%,No
GRIPAP1,5,4,1013,0.4%,No
TRIM36,4,4,1013,0.4%,No
SFI1,6,6,1013,0.6%,No
GIT2,4,4,1013,0.4%,No
FEM1A,5,5,1013,0.5%,No
DELE1,3,3,1013,0.3%,No
DHTKD1,8,8,1013,0.8%,No
NUP58,1,1,1013,<0.1%,No
TSC22D2,5,5,1013,0.5%,No
URB2,7,7,1013,0.7%,No
PRAG1,5,4,1013,0.4%,No
KEAP1,9,9,1013,0.9%,Yes
PIP4P2,3,3,1013,0.3%,No
SLC43A1,2,2,1013,0.2%,No
JAKMIP2,5,5,1013,0.5%,No
PKP4,5,5,1013,0.5%,No
MELK,2,2,1013,0.2%,No
TRIM14,1,1,1013,<0.1%,No
PPFIA1,5,5,1013,0.5%,No
ZNF623,2,2,1013,0.2%,No
KY,6,6,1013,0.6%,No
ELMOD1,3,3,1013,0.3%,No
SVOP,2,2,1013,0.2%,No
CRYBG1,15,15,1013,1.5%,No
MAML3,8,8,1013,0.8%,No
AK2,3,3,1013,0.3%,No
SLC30A10,3,3,1013,0.3%,No
SPATA2,6,5,1013,0.5%,No
AKT1,6,6,1013,0.6%,Yes
ARHGEF11,7,7,1013,0.7%,No
KCNK10,9,9,1013,0.9%,No
AKT2,3,3,1013,0.3%,Yes
ARMCX2,4,2,1013,0.2%,No
ERRFI1,4,4,1013,0.4%,Yes
ARHGAP11A,6,6,1013,0.6%,No
CYCS,1,1,1013,<0.1%,No
CDCA7L,3,3,1013,0.3%,No
DNAJC6,3,3,1013,0.3%,No
ARHGEF17,11,9,1013,0.9%,No
TREM2,1,1,1013,<0.1%,No
ADCY4,8,8,1013,0.8%,No
HEPH,6,6,1013,0.6%,No
LIPF,1,1,1013,<0.1%,No
ELMO1,10,10,1013,1.0%,No
ZBTB24,2,2,1013,0.2%,No
PLEKHM1,6,6,1013,0.6%,No
IHO1,3,2,1013,0.2%,No
ALAD,3,3,1013,0.3%,No
NETO2,2,2,1013,0.2%,No
ALAS1,5,4,1013,0.4%,No
NETO1,7,7,1013,0.7%,No
ALAS2,1,1,1013,<0.1%,No
SPACA1,1,1,1013,<0.1%,No
ALB,2,2,1013,0.2%,Yes
ALCAM,3,3,1013,0.3%,No
ABCD1,3,3,1013,0.3%,No
ALDH1A1,6,6,1013,0.6%,No
SNTG1,11,11,1013,1.1%,No
ALDH2,2,2,1013,0.2%,Yes
LCMT2,2,2,1013,0.2%,No
ZCCHC12,8,7,1013,0.7%,No
ALDH3A1,4,4,1013,0.4%,No
CNTNAP1,13,12,1013,1.2%,No
GINS1,1,1,1013,<0.1%,No
ALDH1B1,2,2,1013,0.2%,No
PIK3R3,5,5,1013,0.5%,Yes
PEX3,2,2,1013,0.2%,No
NDST2,12,12,1013,1.2%,No
SLC41A1,3,3,1013,0.3%,No
ENC1,3,3,1013,0.3%,No
NIPSNAP1,4,4,1013,0.4%,No
ZEB2,9,9,1013,0.9%,No
KIAA0753,8,6,1013,0.6%,No
C2CD2L,6,6,1013,0.6%,No
FARP2,8,8,1013,0.8%,No
GCM1,4,4,1013,0.4%,No
EPM2AIP1,3,3,1013,0.3%,No
GAS7,4,4,1013,0.4%,Yes
RUSC2,6,6,1013,0.6%,No
ALDH1A3,4,4,1013,0.4%,No
SOX6,10,10,1013,1.0%,No
ALDH3B1,1,1,1013,<0.1%,No
SNTG2,8,8,1013,0.8%,No
ZNF823,5,5,1013,0.5%,No
UGGT1,7,5,1013,0.5%,No
ALDH3B2,3,3,1013,0.3%,No
ALDH9A1,5,5,1013,0.5%,No
KCMF1,1,1,1013,<0.1%,No
ABHD3,3,3,1013,0.3%,No
ABCD2,7,7,1013,0.7%,No
ENOSF1,2,2,1013,0.2%,No
ALDOA,3,3,1013,0.3%,No
CCDC39,6,6,1013,0.6%,No
KLK15,4,4,1013,0.4%,No
FSTL5,8,8,1013,0.8%,No
PDZD9,2,2,1013,0.2%,No
ITGA8,7,6,1013,0.6%,No
ALDOB,2,2,1013,0.2%,No
MFAP3L,1,1,1013,<0.1%,No
KCNAB2,3,3,1013,0.3%,No
HAUS7,2,2,1013,0.2%,No
ITGA10,12,10,1013,1.0%,No
GAB2,7,7,1013,0.7%,Yes
PLXNA3,6,6,1013,0.6%,No
TM9SF3,4,4,1013,0.4%,No
ELP1,14,14,1013,1.4%,No
CST7,1,1,1013,<0.1%,No
PSMD6,3,3,1013,0.3%,No
RAB37,3,3,1013,0.3%,No
MED24,10,9,1013,0.9%,No
TRH,2,2,1013,0.2%,No
LRIG2,8,8,1013,0.8%,No
MMAB,2,2,1013,0.2%,No
CHST1,5,5,1013,0.5%,No
TRHR,3,3,1013,0.3%,No
CBX4,5,5,1013,0.5%,No
TRIO,17,16,1013,1.6%,No
CPZ,5,5,1013,0.5%,No
MAGI2,5,5,1013,0.5%,No
CCT3,2,2,1013,0.2%,No
COPS3,2,2,1013,0.2%,No
ALDOC,5,5,1013,0.5%,No
AKR1B1,2,2,1013,0.2%,No
ALK,8,7,1013,0.7%,Yes
ALOX12,1,1,1013,<0.1%,No
DGKD,5,5,1013,0.5%,No
DDO,2,2,1013,0.2%,No
CEP170,7,5,1013,0.5%,No
DGKZ,6,6,1013,0.6%,No
KIAA0319,9,8,1013,0.8%,No
DGKE,4,4,1013,0.4%,No
CEP350,18,11,1013,1.1%,No
CYP4F2,3,3,1013,0.3%,No
PPFIA3,8,7,1013,0.7%,No
APOL1,1,1,1013,<0.1%,No
FCHSD2,4,4,1013,0.4%,No
AGPS,2,2,1013,0.2%,No
SEC24D,7,7,1013,0.7%,No
CGGBP1,1,1,1013,<0.1%,No
AP3B1,1,1,1013,<0.1%,No
ZC3H11A,1,1,1013,<0.1%,No
TLK1,7,7,1013,0.7%,No
ALOX5,2,2,1013,0.2%,No
ALOX5AP,2,2,1013,0.2%,No
ALOX12B,3,3,1013,0.3%,Yes
ALOX15,2,2,1013,0.2%,No
ALOX15B,2,2,1013,0.2%,No
ALPI,5,5,1013,0.5%,No
ALPL,1,1,1013,<0.1%,No
BARX2,5,5,1013,0.5%,No
SETDB1,11,11,1013,1.1%,Yes
TRIP6,1,1,1013,<0.1%,No
API5,6,5,1013,0.5%,No
CAMK1,4,4,1013,0.4%,No
BCAS1,3,3,1013,0.3%,No
TOMM70,3,3,1013,0.3%,No
TRPC1,3,3,1013,0.3%,No
POM121,1,1,1013,<0.1%,No
BHLHE40,3,3,1013,0.3%,No
TRPC3,5,3,1013,0.3%,No
MAPKAPK5,2,2,1013,0.2%,No
TRANK1,13,13,1013,1.3%,No
TBC1D4,11,10,1013,1.0%,No
TRPC5,4,4,1013,0.4%,No
CDC14A,1,1,1013,<0.1%,No
SMG7,7,7,1013,0.7%,No
TRPC4,11,11,1013,1.1%,No
TCAP,2,2,1013,0.2%,No
TRPM2,14,12,1013,1.2%,No
PIAS1,3,3,1013,0.3%,No
OSBPL2,4,4,1013,0.4%,No
TRPC6,7,7,1013,0.7%,No
CDC14B,2,2,1013,0.2%,No
RHOBTB1,3,3,1013,0.3%,No
ALPP,6,5,1013,0.5%,No
ZBTB39,2,2,1013,0.2%,No
ALPG,7,6,1013,0.6%,No
ALX3,2,2,1013,0.2%,No
AMBN,3,3,1013,0.3%,No
AMBP,2,2,1013,0.2%,No
LGR5,6,5,1013,0.5%,Yes
TRO,4,4,1013,0.4%,No
TOX4,5,5,1013,0.5%,No
BLZF1,2,2,1013,0.2%,No
DDX46,8,8,1013,0.8%,No
THOC5,2,2,1013,0.2%,No
TELO2,6,6,1013,0.6%,No
KMO,5,5,1013,0.5%,No
TECPR2,11,11,1013,1.1%,No
SNAP91,3,3,1013,0.3%,No
MADD,2,2,1013,0.2%,No
UBAP2L,4,4,1013,0.4%,No
RRP1,1,1,1013,<0.1%,No
SV2B,5,5,1013,0.5%,No
YARS1,4,3,1013,0.3%,No
FIG4,4,4,1013,0.4%,No
PDXK,4,4,1013,0.4%,No
WASHC5,9,8,1013,0.8%,No
EPHX4,1,1,1013,<0.1%,No
PLPPR4,6,6,1013,0.6%,No
DEGS1,2,2,1013,0.2%,No
NUAK1,4,4,1013,0.4%,No
AMD1,2,2,1013,0.2%,No
AMELY,1,1,1013,<0.1%,No
AMFR,2,2,1013,0.2%,No
AMH,2,2,1013,0.2%,No
TRPS1,18,16,1013,1.6%,No
CDK10,4,4,1013,0.4%,No
ZBED4,7,7,1013,0.7%,No
PRPF18,3,3,1013,0.3%,No
AKR7A2,1,1,1013,<0.1%,No
PRKRA,1,1,1013,<0.1%,No
PDLIM4,1,1,1013,<0.1%,No
CASK,5,5,1013,0.5%,No
SCARF1,3,3,1013,0.3%,No
TSC1,4,4,1013,0.4%,Yes
STK16,1,1,1013,<0.1%,No
TSN,1,1,1013,<0.1%,No
AMPD1,6,5,1013,0.5%,No
AMPD2,9,8,1013,0.8%,No
KHSRP,1,1,1013,<0.1%,No
AMPD3,3,3,1013,0.3%,No
BIN1,3,2,1013,0.2%,No
AMT,6,6,1013,0.6%,No
AMY2A,2,2,1013,0.2%,No
MKNK1,1,1,1013,<0.1%,Yes
TSHR,3,3,1013,0.3%,Yes
TSHB,1,1,1013,<0.1%,No
TSPY1,1,1,1013,<0.1%,No
AMY2B,3,2,1013,0.2%,No
LY6D,2,2,1013,0.2%,No
ANG,1,1,1013,<0.1%,No
ANGPT1,3,3,1013,0.3%,No
TSG101,2,2,1013,0.2%,No
ANGPT2,2,2,1013,0.2%,No
ANK1,24,19,1013,1.9%,No
ANK2,38,30,1013,3.0%,No
ANK3,27,25,1013,2.5%,No
TSC2,16,14,1013,1.4%,Yes
NTAN1,1,1,1013,<0.1%,No
GFUS,5,3,1013,0.3%,No
DNAJC7,3,3,1013,0.3%,No
TTC1,3,3,1013,0.3%,No
TTC4,4,4,1013,0.4%,No
TTC3,9,9,1013,0.9%,No
ANPEP,4,4,1013,0.4%,No
SLC25A4,2,2,1013,0.2%,No
SLC25A5,2,2,1013,0.2%,No
SLC25A6,2,2,1013,0.2%,No
EIPR1,4,4,1013,0.4%,No
PHLDA2,1,1,1013,<0.1%,No
OR6A2,2,2,1013,0.2%,No
TUB,7,7,1013,0.7%,No
TTPA,1,1,1013,<0.1%,No
TUBA4A,3,3,1013,0.3%,No
TTR,1,1,1013,<0.1%,No
TUBA3C,8,8,1013,0.8%,No
TTF1,7,7,1013,0.7%,No
SERHL2,1,1,1013,<0.1%,No
TTN,208,151,1013,14.9%,No
TTK,4,4,1013,0.4%,No
TUFT1,4,4,1013,0.4%,No
TULP2,6,6,1013,0.6%,No
TULP1,1,1,1013,<0.1%,No
L3MBTL4,9,9,1013,0.9%,No
UBLCP1,3,3,1013,0.3%,No
TUBB2A,1,1,1013,<0.1%,No
GJB7,2,2,1013,0.2%,No
TUFM,1,1,1013,<0.1%,No
TUBG1,3,3,1013,0.3%,No
TYK2,4,4,1013,0.4%,Yes
TXNRD1,6,5,1013,0.5%,No
TYR,4,4,1013,0.4%,No
TYMS,2,2,1013,0.2%,No
ACOT12,1,1,1013,<0.1%,No
TWIST1,1,1,1013,<0.1%,No
HIRA,5,5,1013,0.5%,Yes
TNFRSF4,2,2,1013,0.2%,No
ZNF682,11,9,1013,0.9%,No
RAB4B-EGLN2,3,3,1013,0.3%,No
TXK,3,3,1013,0.3%,No
ZNF563,3,3,1013,0.3%,No
IGFN1,11,11,1013,1.1%,No
CBLL2,1,1,1013,<0.1%,No
RPS10-NUDT3,1,1,1013,<0.1%,No
LDHAL6B,3,3,1013,0.3%,No
TIGD7,1,1,1013,<0.1%,No
TMEM67,2,2,1013,0.2%,No
SHROOM1,3,3,1013,0.3%,No
NOMO3,1,1,1013,<0.1%,No
GPR153,4,4,1013,0.4%,No
SCARF2,5,5,1013,0.5%,No
LRIG3,7,7,1013,0.7%,Yes
TRAPPC6B,6,6,1013,0.6%,No
SDR9C7,3,3,1013,0.3%,No
ACSM2A,3,3,1013,0.3%,No
ZNF784,5,4,1013,0.4%,No
DCUN1D3,1,1,1013,<0.1%,No
ZNF524,1,1,1013,<0.1%,No
VWC2,5,5,1013,0.5%,No
SLC25A35,1,1,1013,<0.1%,No
NUP210L,14,13,1013,1.3%,No
MRPL11,1,1,1013,<0.1%,No
CCDC63,3,3,1013,0.3%,No
GCNA,5,4,1013,0.4%,No
MRPL9,2,2,1013,0.2%,No
MYO18A,13,9,1013,0.9%,Yes
MRPL1,3,3,1013,0.3%,No
ANKDD1A,5,5,1013,0.5%,No
NDRG4,3,2,1013,0.2%,No
PPTC7,2,2,1013,0.2%,No
SCYL2,5,5,1013,0.5%,No
RUFY2,1,1,1013,<0.1%,No
RBPMS2,4,4,1013,0.4%,No
RHBDF2,2,2,1013,0.2%,No
TMED6,5,5,1013,0.5%,No
HECTD3,6,6,1013,0.6%,No
YEATS2,5,5,1013,0.5%,No
BEND5,5,5,1013,0.5%,No
TRMU,2,2,1013,0.2%,No
ARHGAP10,6,6,1013,0.6%,No
GPR15LG,1,1,1013,<0.1%,No
MREG,1,1,1013,<0.1%,No
RPAP3,3,3,1013,0.3%,No
DYNC2H1,16,14,1013,1.4%,No
TMEM179B,1,1,1013,<0.1%,No
FAM111B,3,3,1013,0.3%,No
SHC4,3,3,1013,0.3%,No
SLC26A6,4,4,1013,0.4%,No
SLC26A10P,3,3,1013,0.3%,No
TIFA,3,3,1013,0.3%,No
PINK1,2,2,1013,0.2%,No
AK7,7,7,1013,0.7%,No
SH2D4B,1,1,1013,<0.1%,No
WNT4,3,2,1013,0.2%,No
LUC7L,4,4,1013,0.4%,No
CYTL1,5,5,1013,0.5%,No
FRMD4A,8,7,1013,0.7%,No
PACS1,6,5,1013,0.5%,No
RBM22,3,3,1013,0.3%,No
HAO1,3,3,1013,0.3%,No
CHMP6,1,1,1013,<0.1%,No
CLXN,3,3,1013,0.3%,No
IARS2,5,5,1013,0.5%,No
SRD5A3,3,3,1013,0.3%,No
RADIL,11,11,1013,1.1%,No
TMC4,8,8,1013,0.8%,No
VAC14,5,4,1013,0.4%,No
PANK3,1,1,1013,<0.1%,No
MAP7D3,5,5,1013,0.5%,No
MCPH1,3,3,1013,0.3%,No
TIMM50,1,1,1013,<0.1%,No
ACTR8,1,1,1013,<0.1%,No
MEX3D,3,3,1013,0.3%,No
EEIG1,3,3,1013,0.3%,No
TMED7-TICAM2,1,1,1013,<0.1%,No
TUT7,5,5,1013,0.5%,No
NLRX1,7,6,1013,0.6%,No
VEPH1,5,5,1013,0.5%,No
OGFOD2,1,1,1013,<0.1%,No
FASTKD1,4,4,1013,0.4%,No
SMC6,5,5,1013,0.5%,No
VTCN1,1,1,1013,<0.1%,Yes
PRUNE2,15,13,1013,1.3%,No
HEATR4,3,3,1013,0.3%,No
CCDC60,6,6,1013,0.6%,No
OR10P1,3,3,1013,0.3%,No
NEIL1,4,4,1013,0.4%,No
PPP1R3B,2,2,1013,0.2%,No
HSPBAP1,2,2,1013,0.2%,No
TERF2IP,2,2,1013,0.2%,No
DHX40,2,2,1013,0.2%,No
ICE2,5,5,1013,0.5%,No
C3ORF52,1,1,1013,<0.1%,No
PARP8,6,6,1013,0.6%,No
CLYBL,1,1,1013,<0.1%,No
SHOC1,5,5,1013,0.5%,No
KIAA1958,5,4,1013,0.4%,No
GAL3ST4,4,4,1013,0.4%,No
QTRT2,1,1,1013,<0.1%,No
MANEA,4,4,1013,0.4%,No
YRDC,1,1,1013,<0.1%,No
GALNT12,5,5,1013,0.5%,No
HIPK4,7,7,1013,0.7%,No
ZMAT4,3,3,1013,0.3%,No
SENP5,2,2,1013,0.2%,No
ZNF560,5,4,1013,0.4%,No
ZYG11B,2,2,1013,0.2%,No
TMEM190,4,4,1013,0.4%,No
SLC5A8,4,4,1013,0.4%,No
REEP1,6,6,1013,0.6%,No
ACD,3,3,1013,0.3%,No
GPBP1,2,2,1013,0.2%,No
RAPH1,6,5,1013,0.5%,No
FOXP2,6,6,1013,0.6%,No
RTL10,1,1,1013,<0.1%,No
ZDHHC14,4,4,1013,0.4%,No
CENPU,2,2,1013,0.2%,No
SAP30L,1,1,1013,<0.1%,No
STEAP4,5,5,1013,0.5%,No
CPA5,2,2,1013,0.2%,No
CLEC6A,1,1,1013,<0.1%,No
ENPP6,3,3,1013,0.3%,No
NBEAL1,8,7,1013,0.7%,No
LRP5L,2,2,1013,0.2%,No
TSTD2,4,4,1013,0.4%,No
DDX60L,5,5,1013,0.5%,No
ZNF597,1,1,1013,<0.1%,No
SYT8,1,1,1013,<0.1%,No
ZNF782,4,4,1013,0.4%,No
CDK15,3,3,1013,0.3%,No
DTD1,2,2,1013,0.2%,No
RTN4R,6,6,1013,0.6%,No
MIDN,2,2,1013,0.2%,No
ANKRD13D,3,3,1013,0.3%,No
ANKRD42,1,1,1013,<0.1%,No
DUS3L,7,7,1013,0.7%,No
DDX60,9,9,1013,0.9%,No
ITLN1,6,6,1013,0.6%,No
KIF21A,11,11,1013,1.1%,No
PMEPA1,1,1,1013,<0.1%,No
FAM24B,1,1,1013,<0.1%,No
CARMIL1,6,6,1013,0.6%,No
BMAL2,3,3,1013,0.3%,No
TENT5A,1,1,1013,<0.1%,No
CDKN2AIP,3,3,1013,0.3%,No
ZNF280C,3,3,1013,0.3%,No
ANKRD10,1,1,1013,<0.1%,No
CA10,2,2,1013,0.2%,No
PPP1R9A,3,3,1013,0.3%,No
RABGAP1L,3,3,1013,0.3%,No
DUSP22,1,1,1013,<0.1%,Yes
G3BP2,5,5,1013,0.5%,No
DENND4B,10,10,1013,1.0%,No
ENY2,1,1,1013,<0.1%,No
FERMT1,1,1,1013,<0.1%,No
OTUB1,2,2,1013,0.2%,No
VPS50,4,4,1013,0.4%,No
LPCAT4,5,5,1013,0.5%,No
MRC2,7,7,1013,0.7%,No
ASAP3,4,4,1013,0.4%,No
FAM9A,4,4,1013,0.4%,No
KLHL21,4,4,1013,0.4%,No
XAB2,8,7,1013,0.7%,No
SV2A,3,3,1013,0.3%,No
KIF16B,15,14,1013,1.4%,No
SRGAP3,5,5,1013,0.5%,No
MTMR8,4,4,1013,0.4%,No
OLFML3,6,6,1013,0.6%,No
DOCK10,12,11,1013,1.1%,No
MRPS22,3,3,1013,0.3%,No
RBM19,3,3,1013,0.3%,No
EMSY,8,8,1013,0.8%,Yes
SGSM2,4,4,1013,0.4%,No
TASP1,3,3,1013,0.3%,No
MFF,3,2,1013,0.2%,No
FAM9B,1,1,1013,<0.1%,No
RNF10,2,2,1013,0.2%,No
OR5F1,4,4,1013,0.4%,No
OR5AP2,2,2,1013,0.2%,No
PRTFDC1,3,3,1013,0.3%,No
SEC16A,19,19,1013,1.9%,No
NT5M,2,2,1013,0.2%,No
NIT2,2,2,1013,0.2%,No
THUMPD1,3,3,1013,0.3%,No
TTC27,3,3,1013,0.3%,No
TRMT1,5,5,1013,0.5%,No
STAP2,1,1,1013,<0.1%,No
SMYD2,2,2,1013,0.2%,No
SUPT7L,3,3,1013,0.3%,No
SMPD4,4,4,1013,0.4%,No
OR52B6,3,3,1013,0.3%,No
ATP2C2,5,5,1013,0.5%,No
AMBRA1,11,9,1013,0.9%,No
TMCC2,3,3,1013,0.3%,No
ZDHHC7,1,1,1013,<0.1%,No
POMGNT1,2,2,1013,0.2%,No
FAM20B,3,3,1013,0.3%,No
MEPE,6,4,1013,0.4%,No
NCAPD2,3,3,1013,0.3%,No
LHX9,4,4,1013,0.4%,No
ARNT2,3,3,1013,0.3%,No
OTUD7B,2,2,1013,0.2%,No
ZNF407,9,7,1013,0.7%,No
TNFSF11,2,2,1013,0.2%,No
HELZ,5,5,1013,0.5%,No
RGS20,5,4,1013,0.4%,No
TMEM225,3,3,1013,0.3%,No
OR8D4,3,3,1013,0.3%,No
SLC39A4,1,1,1013,<0.1%,No
CENATAC,2,2,1013,0.2%,No
RGMA,4,4,1013,0.4%,No
