Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
"HIP1R","Huntingtin Interacting Protein 1 Related","Protein Coding","48","GC12P122834","2.77329158782959","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HIP1R"
"RAB40B","RAB40B, Member RAS Oncogene Family","Protein Coding","43","GC17M082654","2.77326202392578","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAB40B"
"DMAC2","Distal Membrane Arm Assembly Component 2","Protein Coding","39","GC19M076611","2.77325701713562","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DMAC2"
"PPL","Periplakin","Protein Coding","47","GC16M010004","2.77247262001038","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPL"
"NR6A1","Nuclear Receptor Subfamily 6 Group A Member 1","Protein Coding","47","GC09M124517","2.77234411239624","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR6A1"
"AURKAIP1","Aurora Kinase A Interacting Protein 1","Protein Coding","43","GC01M001373","2.77191257476807","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AURKAIP1"
"NDFIP1","Nedd4 Family Interacting Protein 1","Protein Coding","44","GC05P142108","2.77189373970032","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDFIP1"
"MRPL52","Mitochondrial Ribosomal Protein L52","Protein Coding","39","GC14P022829","2.7717764377594","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MRPL52"
"IQCN","IQ Motif Containing N","Protein Coding","39","GC19M018257","2.77160573005676","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IQCN"
"ENSG00000290385","Novel Transcript","Uncategorized","6","GC01M009451","2.7713885307312","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENSG00000290385"
"LRIG2","Leucine Rich Repeats And Immunoglobulin Like Domains 2","Protein Coding","48","GC01P113073","2.77055525779724","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRIG2"
"UBE2E1","Ubiquitin Conjugating Enzyme E2 E1","Protein Coding","48","GC03P023805","2.77042436599731","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBE2E1"
"TUT4","Terminal Uridylyl Transferase 4","Protein Coding","45","GC01M052410","2.77023577690125","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TUT4"
"APOL1","Apolipoprotein L1","Protein Coding","51","GC22P036253","2.76973056793213","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOL1"
"PSMD7","Proteasome 26S Subunit, Non-ATPase 7","Protein Coding","49","GC16P074296","2.76901030540466","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSMD7"
"MAMSTR","MEF2 Activating Motif And SAP Domain Containing Transcriptional Regulator","Protein Coding","38","GC19M076861","2.7688992023468","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAMSTR"
"LOC101928626","Uncharacterized LOC101928626","RNA Gene","13","GC01M008954","2.76886463165283","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC101928626"
"ENSG00000238009","Novel Transcript","RNA Gene","11","GC01M000089","2.76886463165283","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENSG00000238009"
"PACS1","Phosphofurin Acidic Cluster Sorting Protein 1","Protein Coding","49","GC11P072294","2.76846933364868","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PACS1"
"LRP10","LDL Receptor Related Protein 10","Protein Coding","46","GC14P022871","2.76785326004028","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRP10"
"ARVCF","ARVCF Delta Catenin Family Member","Protein Coding","46","GC22M019966","2.76768088340759","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARVCF"
"ELAC1","ElaC Ribonuclease Z 1","Protein Coding","40","GC18P050967","2.76764392852783","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ELAC1"
"DCST1","DC-STAMP Domain Containing 1","Protein Coding","38","GC01P155033","2.76685380935669","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DCST1"
"ZMPSTE24","Zinc Metallopeptidase STE24","Protein Coding","48","GC01P040258","2.76675629615784","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZMPSTE24"
"CKAP2L","Cytoskeleton Associated Protein 2 Like","Protein Coding","46","GC02M112736","2.76675248146057","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CKAP2L"
"PDP1","Pyruvate Dehydrogenase Phosphatase Catalytic Subunit 1","Protein Coding","54","GC08P093857","2.76625061035156","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDP1"
"H4C15","H4 Clustered Histone 15","Protein Coding","34","GC01M154035","2.76575708389282","https://www.genecards.org/cgi-bin/carddisp.pl?gene=H4C15"
"PSENEN","Presenilin Enhancer, Gamma-Secretase Subunit","Protein Coding","52","GC19P079553","2.76555395126343","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSENEN"
"CACNA2D1","Calcium Voltage-Gated Channel Auxiliary Subunit Alpha2delta 1","Protein Coding","55","GC07M081946","2.76541328430176","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNA2D1"
"PNKP","Polynucleotide Kinase 3'-Phosphatase","Protein Coding","53","GC19M076909","2.76528334617615","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PNKP"
"DDX20","DEAD-Box Helicase 20","Protein Coding","49","GC01P111755","2.76515865325928","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DDX20"
"SLC2A5","Solute Carrier Family 2 Member 5","Protein Coding","51","GC01M009523","2.76480388641357","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC2A5"
"RSPO3","R-Spondin 3","Protein Coding","47","GC06P127118","2.76435565948486","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RSPO3"
"UTS2","Urotensin 2","Protein Coding","46","GC01M007843","2.76406478881836","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UTS2"
"COL21A1","Collagen Type XXI Alpha 1 Chain","Protein Coding","45","GC06M078350","2.76311612129211","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL21A1"
"CCT7","Chaperonin Containing TCP1 Subunit 7","Protein Coding","48","GC02P073233","2.762855052948","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCT7"
"GALNT2","Polypeptide N-Acetylgalactosaminyltransferase 2","Protein Coding","53","GC01P230057","2.76225590705872","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GALNT2"
"GALT","Galactose-1-Phosphate Uridylyltransferase","Protein Coding","53","GC09P050959","2.76213192939758","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GALT"
"DPYSL3","Dihydropyrimidinase Like 3","Protein Coding","47","GC05M147390","2.76031184196472","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DPYSL3"
"STOM","Stomatin","Protein Coding","47","GC09M121338","2.76015424728394","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STOM"
"CRB3","Crumbs Cell Polarity Complex Component 3","Protein Coding","42","GC19P006463","2.75998520851135","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRB3"
"RPE65","Retinoid Isomerohydrolase RPE65","Protein Coding","52","GC01M068428","2.7599663734436","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPE65"
"PSMD4","Proteasome 26S Subunit Ubiquitin Receptor, Non-ATPase 4","Protein Coding","50","GC01P153214","2.75993585586548","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSMD4"
"IGHG2","Immunoglobulin Heavy Constant Gamma 2 (G2m Marker)","Protein Coding","36","GC14M114372","2.75858688354492","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGHG2"
"EIF2B4","Eukaryotic Translation Initiation Factor 2B Subunit Delta","Protein Coding","51","GC02M027364","2.75808453559875","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF2B4"
"ACTL7B","Actin Like 7B","Protein Coding","42","GC09M108854","2.7573573589325","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACTL7B"
"GOLPH3L","Golgi Phosphoprotein 3 Like","Protein Coding","40","GC01M154090","2.75639581680298","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GOLPH3L"
"MC4R","Melanocortin 4 Receptor","Protein Coding","53","GC18M060371","2.75636506080627","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MC4R"
"MAP3K7CL","MAP3K7 C-Terminal Like","Protein Coding","39","GC21P029077","2.75592565536499","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP3K7CL"
"CEMIP2","Cell Migration Inducing Hyaluronidase 2","Protein Coding","43","GC09M071684","2.75506782531738","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CEMIP2"
"VWA1","Von Willebrand Factor A Domain Containing 1","Protein Coding","44","GC01P001434","2.75472974777222","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VWA1"
"WDR4","WD Repeat Domain 4","Protein Coding","45","GC21M042843","2.75418519973755","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WDR4"
"FAM83D","Family With Sequence Similarity 83 Member D","Protein Coding","42","GC20P038926","2.75290584564209","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAM83D"
"DCXR","Dicarbonyl And L-Xylulose Reductase","Protein Coding","50","GC17M082036","2.75256776809692","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DCXR"
"ROBO4","Roundabout Guidance Receptor 4","Protein Coding","51","GC11M124883","2.75159358978271","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ROBO4"
"ABCB10","ATP Binding Cassette Subfamily B Member 10","Protein Coding","46","GC01M229516","2.75083684921265","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCB10"
"DGAT1","Diacylglycerol O-Acyltransferase 1","Protein Coding","55","GC08M145906","2.74941253662109","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DGAT1"
"TRPC5","Transient Receptor Potential Cation Channel Subfamily C Member 5","Protein Coding","48","GC0XM111774","2.74875426292419","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRPC5"
"FEM1B","Fem-1 Homolog B","Protein Coding","46","GC15P129578","2.74794936180115","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FEM1B"
"MAN2C1","Mannosidase Alpha Class 2C Member 1","Protein Coding","47","GC15M075355","2.74784898757935","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAN2C1"
"USP37","Ubiquitin Specific Peptidase 37","Protein Coding","46","GC02M218450","2.74765539169312","https://www.genecards.org/cgi-bin/carddisp.pl?gene=USP37"
"YWHAG","Tyrosine 3-Monooxygenase/Tryptophan 5-Monooxygenase Activation Protein Gamma","Protein Coding","55","GC07M077731","2.74744176864624","https://www.genecards.org/cgi-bin/carddisp.pl?gene=YWHAG"
"SRRM1","Serine And Arginine Repetitive Matrix 1","Protein Coding","44","GC01P024631","2.74735569953918","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SRRM1"
"SEC31A","SEC31 Homolog A, COPII Coat Complex Component","Protein Coding","50","GC04M082818","2.74703073501587","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SEC31A"
"IVNS1ABP","Influenza Virus NS1A Binding Protein","Protein Coding","49","GC01M185307","2.74628162384033","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IVNS1ABP"
"TMEM43","Transmembrane Protein 43","Protein Coding","50","GC03P014408","2.74552917480469","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMEM43"
"IL10RB","Interleukin 10 Receptor Subunit Beta","Protein Coding","52","GC21P033266","2.74521827697754","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL10RB"
"PPFIA1","PTPRF Interacting Protein Alpha 1","Protein Coding","44","GC11P070270","2.74439096450806","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPFIA1"
"LOXL4","Lysyl Oxidase Like 4","Protein Coding","52","GC10M098247","2.74405002593994","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOXL4"
"SPANXN3","SPANX Family Member N3","Protein Coding","35","GC0XM143508","2.74356651306152","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPANXN3"
"SPANXN2","SPANX Family Member N2","Protein Coding","28","GC0XM143711","2.74356651306152","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPANXN2"
"SLC38A9","Solute Carrier Family 38 Member 9","Protein Coding","43","GC05M055625","2.74287557601929","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC38A9"
"CTNNBL1","Catenin Beta Like 1","Protein Coding","47","GC20P037693","2.74219393730164","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTNNBL1"
"MARCHF8","Membrane Associated Ring-CH-Type Finger 8","Protein Coding","42","GC10M046842","2.74186968803406","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MARCHF8"
"MAPK8IP3","Mitogen-Activated Protein Kinase 8 Interacting Protein 3","Protein Coding","47","GC16P001706","2.74180126190186","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK8IP3"
"NCR3LG1","Natural Killer Cell Cytotoxicity Receptor 3 Ligand 1","Protein Coding","41","GC11P017351","2.74079632759094","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NCR3LG1"
"PLEKHN1","Pleckstrin Homology Domain Containing N1","Protein Coding","38","GC01P000966","2.74040412902832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLEKHN1"
"USP12","Ubiquitin Specific Peptidase 12","Protein Coding","43","GC13M027066","2.74035573005676","https://www.genecards.org/cgi-bin/carddisp.pl?gene=USP12"
"KANSL1","KAT8 Regulatory NSL Complex Subunit 1","Protein Coding","47","GC17M057357","2.73960709571838","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KANSL1"
"AS3MT","Arsenite Methyltransferase","Protein Coding","47","GC10P102869","2.73914623260498","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AS3MT"
"CTSC","Cathepsin C","Protein Coding","55","GC11M106699","2.73902630805969","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTSC"
"AZIN1","Antizyme Inhibitor 1","Protein Coding","46","GC08M102826","2.73823261260986","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AZIN1"
"INTS13","Integrator Complex Subunit 13","Protein Coding","40","GC12M026906","2.7363555431366","https://www.genecards.org/cgi-bin/carddisp.pl?gene=INTS13"
"BEST1","Bestrophin 1","Protein Coding","50","GC11P061949","2.73569416999817","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BEST1"
"CAMK2D","Calcium/Calmodulin Dependent Protein Kinase II Delta","Protein Coding","56","GC04M113418","2.73458480834961","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAMK2D"
"TYROBP","Transmembrane Immune Signaling Adaptor TYROBP","Protein Coding","50","GC19M035904","2.73440980911255","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TYROBP"
"TSPOAP1-AS1","TSPOAP1, SUPT4H1 And RNF43 Antisense RNA 1","RNA Gene","18","GC17P072406","2.73343420028687","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSPOAP1-AS1"
"CBX4","Chromobox 4","Protein Coding","46","GC17M079833","2.73299121856689","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CBX4"
"LOC107372315","OSGEP/APEX1 Bi-Directional Promoter Region","Functional Element","4","GC14P037112","2.73248529434204","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC107372315"
"EIF3C","Eukaryotic Translation Initiation Factor 3 Subunit C","Protein Coding","45","GC16P044873","2.73183274269104","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF3C"
"NCAPD3","Non-SMC Condensin II Complex Subunit D3","Protein Coding","48","GC11M134150","2.73104763031006","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NCAPD3"
"HPSE2","Heparanase 2 (Inactive)","Protein Coding","48","GC10M098457","2.73011636734009","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HPSE2"
"MAN2B1","Mannosidase Alpha Class 2B Member 1","Protein Coding","52","GC19M015043","2.73004531860352","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAN2B1"
"CERS6-AS1","CERS6 Antisense RNA 1","RNA Gene","15","GC02M168771","2.72951555252075","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CERS6-AS1"
"CACNB2","Calcium Voltage-Gated Channel Auxiliary Subunit Beta 2","Protein Coding","53","GC10P018165","2.72945404052734","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNB2"
"PPP2R5A","Protein Phosphatase 2 Regulatory Subunit B'Alpha","Protein Coding","47","GC01P212285","2.72920393943787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPP2R5A"
"FAM83F","Family With Sequence Similarity 83 Member F","Protein Coding","40","GC22P039994","2.72898602485657","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAM83F"
"TRPV2","Transient Receptor Potential Cation Channel Subfamily V Member 2","Protein Coding","47","GC17P016415","2.72839021682739","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRPV2"
"TMEM259","Transmembrane Protein 259","Protein Coding","40","GC19M008196","2.72788286209106","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMEM259"
"SNX10","Sorting Nexin 10","Protein Coding","47","GC07P026291","2.72708988189697","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNX10"
"AQP9","Aquaporin 9","Protein Coding","50","GC15P058138","2.72667002677917","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AQP9"
"ZNF512","Zinc Finger Protein 512","Protein Coding","39","GC02P027582","2.72652149200439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZNF512"
"VANGL1","VANGL Planar Cell Polarity Protein 1","Protein Coding","49","GC01P115641","2.7264130115509","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VANGL1"
"COLGALT1","Collagen Beta(1-O)Galactosyltransferase 1","Protein Coding","47","GC19P017555","2.72548532485962","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COLGALT1"
"SLC1A1","Solute Carrier Family 1 Member 1","Protein Coding","56","GC09P004490","2.72520208358765","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC1A1"
"PPIL2","Peptidylprolyl Isomerase Like 2","Protein Coding","48","GC22P051410","2.72513318061829","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPIL2"
"NDUFV2","NADH:Ubiquinone Oxidoreductase Core Subunit V2","Protein Coding","50","GC18P009092","2.72484612464905","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDUFV2"
"ANKRD30BP2","Ankyrin Repeat Domain 30B Pseudogene 2","Pseudogene","14","GC21P013038","2.72459053993225","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANKRD30BP2"
"RBM23","RNA Binding Motif Protein 23","Protein Coding","43","GC14M024866","2.72390985488892","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBM23"
"CERK","Ceramide Kinase","Protein Coding","47","GC22M046684","2.72335577011108","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CERK"
"RNF4","Ring Finger Protein 4","Protein Coding","46","GC04P002462","2.72326707839966","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNF4"
"KRT79","Keratin 79","Protein Coding","40","GC12M052821","2.72246527671814","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRT79"
"FYTTD1","Forty-Two-Three Domain Containing 1","Protein Coding","42","GC03P197737","2.7224280834198","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FYTTD1"
"CA10","Carbonic Anhydrase 10","Protein Coding","46","GC17M051630","2.72221946716309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CA10"
"CRYBG1","Crystallin Beta-Gamma Domain Containing 1","Protein Coding","41","GC06P106361","2.72203731536865","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRYBG1"
"APOBEC3A","Apolipoprotein B MRNA Editing Enzyme Catalytic Subunit 3A","Protein Coding","45","GC22P038952","2.72171711921692","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOBEC3A"
"SLC9A3","Solute Carrier Family 9 Member A3","Protein Coding","55","GC05M000472","2.72167539596558","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC9A3"
"TASOR2","Transcription Activation Suppressor Family Member 2","Protein Coding","38","GC10P005684","2.72156620025635","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TASOR2"
"FRMD3","FERM Domain Containing 3","Protein Coding","42","GC09M083242","2.7212553024292","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FRMD3"
"NIBAN2","Niban Apoptosis Regulator 2","Protein Coding","44","GC09M127600","2.72106146812439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NIBAN2"
"SRP72","Signal Recognition Particle 72","Protein Coding","48","GC04P056466","2.72039771080017","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SRP72"
"USP34","Ubiquitin Specific Peptidase 34","Protein Coding","46","GC02M061187","2.71977853775024","https://www.genecards.org/cgi-bin/carddisp.pl?gene=USP34"
"RPAP3","RNA Polymerase II Associated Protein 3","Protein Coding","42","GC12M047661","2.71970510482788","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPAP3"
"SAP18","Sin3A Associated Protein 18","Protein Coding","46","GC13P021140","2.71931171417236","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SAP18"
"TNRC6A","Trinucleotide Repeat Containing Adaptor 6A","Protein Coding","46","GC16P044723","2.71929597854614","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNRC6A"
"ZMYM4","Zinc Finger MYM-Type Containing 4","Protein Coding","44","GC01P035268","2.71890115737915","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZMYM4"
"HCRT","Hypocretin Neuropeptide Precursor","Protein Coding","46","GC17M057135","2.71886157989502","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HCRT"
"DAP","Death Associated Protein","Protein Coding","45","GC05M010679","2.71878862380981","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DAP"
"MIR711","MicroRNA 711","RNA Gene","16","GC03M048578","2.71804332733154","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR711"
"PUM2","Pumilio RNA Binding Family Member 2","Protein Coding","48","GC02M020375","2.71801352500916","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PUM2"
"MYCNUT","MYCN Upstream Transcript","RNA Gene","16","GC02P015920","2.71774482727051","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYCNUT"
"IFRD2","Interferon Related Developmental Regulator 2","Protein Coding","43","GC03M050287","2.71766805648804","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFRD2"
"RBM17","RNA Binding Motif Protein 17","Protein Coding","46","GC10P006089","2.71750831604004","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBM17"
"P4HA1","Prolyl 4-Hydroxylase Subunit Alpha 1","Protein Coding","49","GC10M073007","2.71738767623901","https://www.genecards.org/cgi-bin/carddisp.pl?gene=P4HA1"
"QDPR","Quinoid Dihydropteridine Reductase","Protein Coding","53","GC04M017460","2.71663331985474","https://www.genecards.org/cgi-bin/carddisp.pl?gene=QDPR"
"IRAK2","Interleukin 1 Receptor Associated Kinase 2","Protein Coding","48","GC03P014316","2.71621608734131","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IRAK2"
"ZBTB7B","Zinc Finger And BTB Domain Containing 7B","Protein Coding","46","GC01P155068","2.7160906791687","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZBTB7B"
"CATSPERG","Cation Channel Sperm Associated Auxiliary Subunit Gamma","Protein Coding","42","GC19P079614","2.71593332290649","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CATSPERG"
"RHOT2","Ras Homolog Family Member T2","Protein Coding","46","GC16P019813","2.71591806411743","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RHOT2"
"NAV1","Neuron Navigator 1","Protein Coding","43","GC01P201572","2.71520924568176","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NAV1"
"CYB5R3","Cytochrome B5 Reductase 3","Protein Coding","52","GC22M065981","2.71478056907654","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYB5R3"
"BHLHE41","Basic Helix-Loop-Helix Family Member E41","Protein Coding","47","GC12M026120","2.71465969085693","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BHLHE41"
"KLF14","KLF Transcription Factor 14","Protein Coding","40","GC07M130731","2.71462368965149","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KLF14"
"BOD1","Biorientation Of Chromosomes In Cell Division 1","Protein Coding","44","GC05M173607","2.71423530578613","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BOD1"
"ZNF326","Zinc Finger Protein 326","Protein Coding","43","GC01P089995","2.71333169937134","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZNF326"
"PPM1H","Protein Phosphatase, Mg2+/Mn2+ Dependent 1H","Protein Coding","44","GC12M062643","2.71287608146667","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPM1H"
"DIP2B","Disco Interacting Protein 2 Homolog B","Protein Coding","44","GC12P050504","2.71284294128418","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DIP2B"
"H6PD","Hexose-6-Phosphate Dehydrogenase/Glucose 1-Dehydrogenase","Protein Coding","51","GC01P009234","2.71267509460449","https://www.genecards.org/cgi-bin/carddisp.pl?gene=H6PD"
"PBX2","PBX Homeobox 2","Protein Coding","45","GC06M032184","2.71264410018921","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PBX2"
"MIR1260B","MicroRNA 1260b","RNA Gene","18","GC11P096341","2.71255207061768","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR1260B"
"PDLIM7","PDZ And LIM Domain 7","Protein Coding","49","GC05M177483","2.71230983734131","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDLIM7"
"INTS14","Integrator Complex Subunit 14","Protein Coding","41","GC15M129486","2.71178221702576","https://www.genecards.org/cgi-bin/carddisp.pl?gene=INTS14"
"ERLIN1","ER Lipid Raft Associated 1","Protein Coding","50","GC10M100150","2.71145677566528","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERLIN1"
"TFAP2B","Transcription Factor AP-2 Beta","Protein Coding","52","GC06P100469","2.71123576164246","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TFAP2B"
"SCAF11","SR-Related CTD Associated Factor 11","Protein Coding","46","GC12M045919","2.71109533309937","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCAF11"
"CAB39","Calcium Binding Protein 39","Protein Coding","47","GC02P230712","2.71030592918396","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAB39"
"ZNF609","Zinc Finger Protein 609","Protein Coding","40","GC15P132617","2.71005582809448","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZNF609"
"SLC30A9","Solute Carrier Family 30 Member 9","Protein Coding","50","GC04P041992","2.7100031375885","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC30A9"
"SULT1A3","Sulfotransferase Family 1A Member 3","Protein Coding","43","GC16P030199","2.70992588996887","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SULT1A3"
"COPS4","COP9 Signalosome Subunit 4","Protein Coding","42","GC04P083034","2.70929265022278","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COPS4"
"CLDN12","Claudin 12","Protein Coding","44","GC07P090383","2.7091965675354","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLDN12"
"CREB5","CAMP Responsive Element Binding Protein 5","Protein Coding","45","GC07P028305","2.70908355712891","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CREB5"
"HMOX2","Heme Oxygenase 2","Protein Coding","52","GC16P004474","2.70897054672241","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HMOX2"
"LY6G5B","Lymphocyte Antigen 6 Family Member G5B","Protein Coding","38","GC06P100209","2.70848417282104","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LY6G5B"
